col	Gene Symbol	Gene Size	Phenotypes	Inheritance Pattern	Chromosome
1	KCNJ13	1083/285	Bardet-Biedl syndrome	Autosomal dominant	2
2	PRDM13	2124	Chorioretinal atrophy or degeneration	Autosomal dominant	6
3	RGR	888/762	Chorioretinal atrophy or degeneration	Autosomal dominant	10
4	TEAD1	1281	Chorioretinal atrophy or degeneration	Autosomal dominant	11
5	AIPL1	1155/966/975/1119/1089/1083/789	Cone or cone-rod dystrophy	Autosomal dominant	17
6	CRX	900	Cone or cone-rod dystrophy	Autosomal dominant	19
7	GUCA1A	606	Cone or cone-rod dystrophy	Autosomal dominant	6
8	GUCY2D	3312	Cone or cone-rod dystrophy	Autosomal dominant	17
9	PITPNM3	2925/2817	Cone or cone-rod dystrophy	Autosomal dominant	17
10	PROM1	2598/2571/2505/2529	Cone or cone-rod dystrophy	Autosomal dominant	4
11	PRPH2	1041	Cone or cone-rod dystrophy	Autosomal dominant	6
12	RIMS1	5079/3039/2454/2283/2481/660	Cone or cone-rod dystrophy	Autosomal dominant	6
13	SEMA4A	2286/1890	Cone or cone-rod dystrophy	Autosomal dominant	1
14	UNC119	723/663	Cone or cone-rod dystrophy	Autosomal dominant	17
15	CORD4*		Cone or cone-rod dystrophy	Autosomal dominant	
16	CORD17*		Cone or cone-rod dystrophy	Autosomal dominant	
17	RCD1*		Cone or cone-rod dystrophy	Autosomal dominant	
18	GNAT1	1053	Congenital stationary night blindness	Autosomal dominant	3
19	PDE6B	2565/2562/1728	Congenital stationary night blindness	Autosomal dominant	4
20	RHO	1047	Congenital stationary night blindness	Autosomal dominant	3
21	WFS1	2673	Deafness alone or syndromic	Autosomal dominant	4
22	AIPL1	1155/966/975/1119/1089/1083/789	Leber congenital amaurosis	Autosomal dominant	17
23	CRB1	4221/3885/4149/2613	Leber congenital amaurosis	Autosomal dominant	1
24	CRX	900	Leber congenital amaurosis	Autosomal dominant	19
25	GUCY2D	3312	Leber congenital amaurosis	Autosomal dominant	17
26	IMPDH1	1800/1692/1770/1701/1530/1470	Leber congenital amaurosis	Autosomal dominant	7
27	KCNJ13	1083/285	Leber congenital amaurosis	Autosomal dominant	2
28	OTX2	894/870	Leber congenital amaurosis	Autosomal dominant	14
29	PRPH2	1041	Leber congenital amaurosis	Autosomal dominant	6
30	RDH12	951	Leber congenital amaurosis	Autosomal dominant	14
31	RPE65	1602	Leber congenital amaurosis	Autosomal dominant	1
32	BEST1	1758/1815	Macular degeneration	Autosomal dominant	11
33	C1QTNF5	732	Macular degeneration	Autosomal dominant	11
34	CTNNA1	2526/1611	Macular degeneration	Autosomal dominant	5
35	EFEMP1	1482	Macular degeneration	Autosomal dominant	2
36	ELOVL4	945	Macular degeneration	Autosomal dominant	6
37	FSCN2	1479/1551	Macular degeneration	Autosomal dominant	17
38	GUCA1B	603	Macular degeneration	Autosomal dominant	6
39	HMCN1	16908	Macular degeneration	Autosomal dominant	1
40	IMPG1	2394/2160	Macular degeneration	Autosomal dominant	6
41	OTX2	894/870	Macular degeneration	Autosomal dominant	14
42	PRDM13	2124	Macular degeneration	Autosomal dominant	6
43	PROM1	2598/2571/2505/2529	Macular degeneration	Autosomal dominant	4
44	PRPH2	1041	Macular degeneration	Autosomal dominant	6
45	RP1L1	7203	Macular degeneration	Autosomal dominant	8
46	TIMP3	636	Macular degeneration	Autosomal dominant	22
47	VCAN	10191/1968/7230/4929	Ocular-retinal developmental disease	Autosomal dominant	5
48	MFN2	2274	Optic atrophy	Autosomal dominant	1
49	NR2F1	1272	Optic atrophy	Autosomal dominant	5
50	OPA1	2883/2994	Optic atrophy	Autosomal dominant	3
51	ARL3	549	Retinitis pigmentosa	Autosomal dominant	10
52	BEST1	1758/1815	Retinitis pigmentosa	Autosomal dominant	11
53	CA4	939	Retinitis pigmentosa	Autosomal dominant	17
54	CRB1	4221/3885/4149/2613	Retinitis pigmentosa	Autosomal dominant	1
55	CRX	900	Retinitis pigmentosa	Autosomal dominant	19
56	FSCN2	1479/1551	Retinitis pigmentosa	Autosomal dominant	17
57	GUCA1B	603	Retinitis pigmentosa	Autosomal dominant	6
58	HK1	2754/2751/2766/2718	Retinitis pigmentosa	Autosomal dominant	10
59	IMPDH1	1800/1692/1770/1701/1530/1470	Retinitis pigmentosa	Autosomal dominant	7
60	KLHL7	1761/1617/501	Retinitis pigmentosa	Autosomal dominant	7
61	NR2E3	1104/1233	Retinitis pigmentosa	Autosomal dominant	15
62	NRL	714	Retinitis pigmentosa	Autosomal dominant	14
63	PDE6B	2565/2562/1728	Retinitis pigmentosa	Autosomal dominant	4
64	PROM1	2598/2571/2505/2529	Retinitis pigmentosa	Autosomal dominant	4
65	PRPF3	2052	Retinitis pigmentosa	Autosomal dominant	1
66	PRPF31	1500	Retinitis pigmentosa	Autosomal dominant	19
67	PRPF4	1569/1566	Retinitis pigmentosa	Autosomal dominant	9
68	PRPF6	2826	Retinitis pigmentosa	Autosomal dominant	20
69	PRPF8	7008	Retinitis pigmentosa	Autosomal dominant	17
70	PRPH2	1041	Retinitis pigmentosa	Autosomal dominant	6
71	RDH12	951	Retinitis pigmentosa	Autosomal dominant	14
72	RGR	888/762	Retinitis pigmentosa	Autosomal dominant	10
73	RHO	1047	Retinitis pigmentosa	Autosomal dominant	3
74	ROM1	1056	Retinitis pigmentosa	Autosomal dominant	11
75	RP1	6471	Retinitis pigmentosa	Autosomal dominant	8
76	RP1L1	7203	Retinitis pigmentosa	Autosomal dominant	8
77	RP9	666	Retinitis pigmentosa	Autosomal dominant	7
78	RPE65	1602	Retinitis pigmentosa	Autosomal dominant	1
79	SEMA4A	2286/1890	Retinitis pigmentosa	Autosomal dominant	1
80	SNRNP200	6411	Retinitis pigmentosa	Autosomal dominant	2
81	SPP2	636	Retinitis pigmentosa	Autosomal dominant	2
82	TOPORS	3138/2943	Retinitis pigmentosa	Autosomal dominant	9
83	ZNF408	2163	Retinitis pigmentosa	Autosomal dominant	11
84	ABCC6	4512/300	Syndromic/systemic diseases with retinopathy	Autosomal dominant	16
85	ATXN7	2679/2838/2244	Syndromic/systemic diseases with retinopathy	Autosomal dominant	3
86	COL11A1	5421/5073/5304	Syndromic/systemic diseases with retinopathy	Autosomal dominant	1
87	COL2A1	4464/4257	Syndromic/systemic diseases with retinopathy	Autosomal dominant	12
88	ELOVL4	945	Syndromic/systemic diseases with retinopathy	Autosomal dominant	6
89	JAG1	3657	Syndromic/systemic diseases with retinopathy	Autosomal dominant	20
90	KCNJ13	1083/285	Syndromic/systemic diseases with retinopathy	Autosomal dominant	2
91	KIF11	3171	Syndromic/systemic diseases with retinopathy	Autosomal dominant	10
92	LRP5	4848	Syndromic/systemic diseases with retinopathy	Autosomal dominant	11
93	MFN2	2274	Syndromic/systemic diseases with retinopathy	Autosomal dominant	1
94	OPA3	543/540	Syndromic/systemic diseases with retinopathy	Autosomal dominant	19
95	PAX2	1185/1191	Syndromic/systemic diseases with retinopathy	Autosomal dominant	10
96	TREX1	1110/945/915	Syndromic/systemic diseases with retinopathy	Autosomal dominant	3
97	VCAN	10191/1968/7230/4929	Syndromic/systemic diseases with retinopathy	Autosomal dominant	5
98	WFS1	2673	Syndromic/systemic diseases with retinopathy	Autosomal dominant	4
99	BEST1	1758/1815	Other retinopathy	Autosomal dominant	11
